last_name,first_name,birthday,gender,title,state,district,party,url,address,phone
Brown,Sherrod,1952-11-09,M,sen,OH,,Democrat,https://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315
Cantwell,Maria,1958-10-13,F,sen,WA,,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441
Cardin,Benjamin,1943-10-05,M,sen,MD,,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524
Carper,Thomas,1947-01-23,M,sen,DE,,Democrat,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441
Casey,Robert,1960-04-13,M,sen,PA,,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324
Corker,Bob,1952-08-24,M,sen,TN,,Republican,https://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344
Feinstein,Dianne,1933-06-22,F,sen,CA,,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841
Hatch,Orrin,1934-03-22,M,sen,UT,,Republican,https://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251
Klobuchar,Amy,1960-05-25,F,sen,MN,,Democrat,https://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244
McCaskill,Claire,1953-07-24,F,sen,MO,,Democrat,https://www.mccaskill.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-6154
Menéndez,Robert,1954-01-01,M,sen,NJ,,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744
Nelson,Bill,1942-09-29,M,sen,FL,,Democrat,https://www.billnelson.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274
Sanders,Bernard,1941-09-08,M,sen,VT,,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141
Stabenow,Debbie,1950-04-29,F,sen,MI,,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822
Tester,Jon,1956-08-21,M,sen,MT,,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644
Whitehouse,Sheldon,1955-10-20,M,sen,RI,,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921
Barrasso,John,1952-07-21,M,sen,WY,,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441
Wicker,Roger,1951-07-05,M,sen,MS,,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253
Alexander,Lamar,1940-07-03,M,sen,TN,,Republican,https://www.alexander.senate.gov/public,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944
Collins,Susan,1952-12-07,F,sen,ME,,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523
Cornyn,John,1952-02-02,M,sen,TX,,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934
Durbin,Richard,1944-11-21,M,sen,IL,,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152
Enzi,Michael,1944-02-01,M,sen,WY,,Republican,https://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424
Graham,Lindsey,1955-07-09,M,sen,SC,,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972
Inhofe,James,1934-11-17,M,sen,OK,,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721
McConnell,Mitch,1942-02-20,M,sen,KY,,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541
Merkley,Jeff,1956-10-24,M,sen,OR,,Democrat,https://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753
Reed,John,1949-11-12,M,sen,RI,,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642
Risch,James,1943-05-03,M,sen,ID,,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752
Roberts,Pat,1936-04-20,M,sen,KS,,Republican,https://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774
Shaheen,Jeanne,1947-01-28,F,sen,NH,,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841
Udall,Tom,1948-05-18,M,sen,NM,,Democrat,https://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621
